"No.","Time","Source","Destination","Protocol","Length","Info"
"41","0.565823","","OneplusT_f2:a1:d8 (c0:ee:fb:f2:a1:d8) (RA)","802.11","10","Acknowledgement, Flags=...P...."
"42","0.590919","OneplusT_f2:a1:d8","IntelCor_61:ab:a7","802.11","198","Probe Response, SN=1224, FN=0, Flags=........, BI=100, SSID=jamnik"
"43","0.597059","OneplusT_f2:a1:d8","IntelCor_61:ab:a7","802.11","198","Probe Response, SN=1224, FN=0, Flags=....R..., BI=100, SSID=jamnik"
"44","0.601158","OneplusT_f2:a1:d8","IntelCor_61:ab:a7","802.11","198","Probe Response, SN=1224, FN=0, Flags=....R..., BI=100, SSID=jamnik"
"45","0.645176","","HuaweiTe_91:18:1f (1c:67:58:91:18:1f) (RA)","802.11","10","Acknowledgement, Flags=...P...."
"46","0.690731","","HuaweiTe_91:18:1f (1c:67:58:91:18:1f) (RA)","802.11","10","Acknowledgement, Flags=...P...."
"47","0.798228","","HuaweiTe_91:18:1f (1c:67:58:91:18:1f) (RA)","802.11","10","Acknowledgement, Flags=...P...."
"48","0.885830","OneplusT_f2:a1:d8","Broadcast","ARP","60","Who has 192.168.43.137? Tell 192.168.43.1"
"49","0.909896","OneplusT_f2:a1:d8","76:c3:22:31:b1:72","802.11","198","Probe Response, SN=1228, FN=0, Flags=........, BI=100, SSID=jamnik"
"50","0.916495","","HuaweiTe_14:8e:6e (b0:55:08:14:8e:6e) (RA)","802.11","10","Acknowledgement, Flags=........"
"51","0.920648","OneplusT_f2:a1:d8","76:c3:22:31:b1:72","802.11","198","Probe Response, SN=1228, FN=0, Flags=....R..., BI=100, SSID=jamnik"
"52","0.922696","OneplusT_f2:a1:d8","76:c3:22:31:b1:72","802.11","198","Probe Response, SN=1228, FN=0, Flags=....R..., BI=100, SSID=jamnik"
"53","0.953416","OneplusT_f2:a1:d8","76:c3:22:31:b1:72","802.11","198","Probe Response, SN=1229, FN=0, Flags=........, BI=100, SSID=jamnik"
"54","0.954950","OneplusT_f2:a1:d8","76:c3:22:31:b1:72","802.11","198","Probe Response, SN=1229, FN=0, Flags=....R..., BI=100, SSID=jamnik"
"55","0.956998","OneplusT_f2:a1:d8","76:c3:22:31:b1:72","802.11","198","Probe Response, SN=1229, FN=0, Flags=....R..., BI=100, SSID=jamnik"
"56","0.963621","","Tp-LinkT_b9:3e:16 (b0:48:7a:b9:3e:16) (RA)","802.11","10","Acknowledgement, Flags=........"
"57","1.028167","OneplusT_f2:a1:d8","0c:cb:85:ec:37:48","802.11","198","Probe Response, SN=1231, FN=0, Flags=........, BI=100, SSID=jamnik"
"58","1.036361","OneplusT_f2:a1:d8","0c:cb:85:ec:37:48","802.11","198","Probe Response, SN=1231, FN=0, Flags=....R..., BI=100, SSID=jamnik"
"59","1.038406","OneplusT_f2:a1:d8","0c:cb:85:ec:37:48","802.11","198","Probe Response, SN=1231, FN=0, Flags=....R..., BI=100, SSID=jamnik"
"60","1.048647","OneplusT_f2:a1:d8","0c:cb:85:ec:37:48","802.11","198","Probe Response, SN=1232, FN=0, Flags=........, BI=100, SSID=jamnik"
"61","1.050695","OneplusT_f2:a1:d8","0c:cb:85:ec:37:48","802.11","198","Probe Response, SN=1232, FN=0, Flags=....R..., BI=100, SSID=jamnik"
"62","1.052745","OneplusT_f2:a1:d8","0c:cb:85:ec:37:48","802.11","198","Probe Response, SN=1232, FN=0, Flags=....R..., BI=100, SSID=jamnik"
"63","1.068071","","HuaweiTe_14:8e:6e (b0:55:08:14:8e:6e) (RA)","802.11","10","Acknowledgement, Flags=........"
"64","1.070117","","HuaweiTe_5b:82:2c (14:9d:09:5b:82:2c) (RA)","802.11","10","Acknowledgement, Flags=........"
"65","1.072677","","Cisco-Li_2f:54:f7 (68:7f:74:2f:54:f7) (RA)","802.11","10","Acknowledgement, Flags=........"
"66","1.077287","","Cisco-Li_2f:54:f7 (68:7f:74:2f:54:f7) (RA)","802.11","10","Acknowledgement, Flags=........"
"67","1.089096","OneplusT_f2:a1:d8","0c:cb:85:ec:37:48","802.11","198","Probe Response, SN=1234, FN=0, Flags=........, BI=100, SSID=jamnik"
"68","1.093158","","HuaweiTe_14:8e:6e (b0:55:08:14:8e:6e) (RA)","802.11","10","Acknowledgement, Flags=........"
"69","1.097268","OneplusT_f2:a1:d8","0c:cb:85:ec:37:48","802.11","198","Probe Response, SN=1234, FN=0, Flags=....R..., BI=100, SSID=jamnik"
"70","1.104422","","HuaweiTe_14:8e:6e (b0:55:08:14:8e:6e) (RA)","802.11","10","Acknowledgement, Flags=........"
"71","1.107471","OneplusT_f2:a1:d8","0c:cb:85:ec:37:48","802.11","198","Probe Response, SN=1235, FN=0, Flags=........, BI=100, SSID=jamnik"
"72","1.111590","","HuaweiTe_14:8e:6e (b0:55:08:14:8e:6e) (RA)","802.11","10","Acknowledgement, Flags=........"
"73","1.115207","OneplusT_f2:a1:d8","0c:cb:85:ec:37:48","802.11","198","Probe Response, SN=1235, FN=0, Flags=....R..., BI=100, SSID=jamnik"
"74","1.116729","OneplusT_f2:a1:d8","0c:cb:85:ec:37:48","802.11","198","Probe Response, SN=1235, FN=0, Flags=....R..., BI=100, SSID=jamnik"
"75","1.131080","OneplusT_f2:a1:d8","0c:cb:85:ec:37:48","802.11","198","Probe Response, SN=1237, FN=0, Flags=........, BI=100, SSID=jamnik"
"76","1.132616","OneplusT_f2:a1:d8","0c:cb:85:ec:37:48","802.11","198","Probe Response, SN=1237, FN=0, Flags=....R..., BI=100, SSID=jamnik"
"77","1.134664","OneplusT_f2:a1:d8","0c:cb:85:ec:37:48","802.11","198","Probe Response, SN=1237, FN=0, Flags=....R..., BI=100, SSID=jamnik"
"78","1.142344","OneplusT_f2:a1:d8","0c:cb:85:ec:37:48","802.11","198","Probe Response, SN=1238, FN=0, Flags=........, BI=100, SSID=jamnik"
"79","1.145928","OneplusT_f2:a1:d8","0c:cb:85:ec:37:48","802.11","198","Probe Response, SN=1238, FN=0, Flags=....R..., BI=100, SSID=jamnik"
"80","1.181285","","HuaweiTe_91:18:1f (1c:67:58:91:18:1f) (RA)","802.11","10","Acknowledgement, Flags=........"
"81","1.190536","OneplusT_f2:a1:d8","0c:cb:85:ec:37:48","802.11","198","Probe Response, SN=1240, FN=0, Flags=........, BI=100, SSID=jamnik"
"82","1.194120","OneplusT_f2:a1:d8","0c:cb:85:ec:37:48","802.11","198","Probe Response, SN=1240, FN=0, Flags=....R..., BI=100, SSID=jamnik"
"83","1.199206","","HuaweiTe_91:18:1f (1c:67:58:91:18:1f) (RA)","802.11","10","Acknowledgement, Flags=........"
"84","1.202269","OneplusT_f2:a1:d8","0c:cb:85:ec:37:48","802.11","198","Probe Response, SN=1241, FN=0, Flags=........, BI=100, SSID=jamnik"
"85","1.210504","OneplusT_f2:a1:d8","0c:cb:85:ec:37:48","802.11","198","Probe Response, SN=1241, FN=0, Flags=....R..., BI=100, SSID=jamnik"
"86","1.212551","OneplusT_f2:a1:d8","0c:cb:85:ec:37:48","802.11","198","Probe Response, SN=1241, FN=0, Flags=....R..., BI=100, SSID=jamnik"
"87","1.215591","","HuaweiTe_91:18:1f (1c:67:58:91:18:1f) (RA)","802.11","10","Acknowledgement, Flags=........"
"88","1.369223","OneplusT_f2:a1:d8","56:9c:6a:8b:81:f2","802.11","198","Probe Response, SN=1243, FN=0, Flags=........, BI=100, SSID=jamnik"
